,Token,Distance,Model,Color,Price,Motor,Body,Structure,Insurance
581,AZFyXgkv,۲۹٬۰۰۰,۱۴۰۰,سفید,۳۷۸٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۱۰ ماه
582,AZFy_IB2,۱۷۰٬۰۰۰,۱۳۸۹,نقره‌ای,۲۹۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۹ ماه
583,AZFybt3G,۲۰۰٬۰۰۰,۱۳۸۷,سفید,۲۵۵٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۵ ماه
584,AZG-F7OD,۱۱۰٬۰۰۰,۱۳۹۶,سفید,۳۶۵٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۵ ماه
585,AZG-L3lh,۳۲۰٬۰۰۰,۱۳۸۴,نوک‌مدادی,۱۸۰٬۰۰۰٬۰۰۰ تومان,سالم,دوررنگ,سالم و پلمپ,۶ ماه
586,AZG-Ojng,۲۱۰٬۰۰۰,۱۳۸۸,سفید,۲۵۵٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۳ ماه
587,AZG-biri,۸۰٬۰۰۰,۱۳۹۸,سفید,۴۰۵٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۶ ماه
588,AZG-s664,۴٬۴۰۰,۱۳۹۹,خاکستری,۴۸۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۷ ماه
589,AZG28Sni,۳۰۰٬۰۰۰,۱۳۸۹,خاکستری,۲۵۰٬۰۰۰٬۰۰۰ تومان,سالم,دوررنگ,سالم و پلمپ,۶ ماه
590,AZG2HGqm,۱۸۶٬۰۰۰,۱۳۸۰,آلبالویی,۱۸۰٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی، در ۲ ناحیه,سالم و پلمپ,۶ ماه
591,AZG2f1IZ,۳۰۰٬۰۰۰,۱۳۸۰,نقره‌ای,۱۶۸٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۷ ماه
592,AZG2h2e0,۲۷۲٬۰۰۰,۱۳۸۶,خاکستری,۲۳۶٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۹ ماه
593,AZG65cxm,۲۲۹٬۰۰۰,۱۳۸۸,سفید,۲۷۵٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۱ ماه
594,AZG69AkU,۴۶٬۰۰۰,۱۳۹۹,سفید,۴۰۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۶ ماه
595,AZG6P9xJ,۳۰٬۰۰۰,۱۳۹۹,سفید,۴۲۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۵ ماه
596,AZG6afph,۲۷۰٬۰۰۰,۱۳۸۹,سفید,۲۵۳٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۵ ماه
597,AZG6cuKn,۱۲۰٬۰۰۰,۱۳۹۷,سفید,۳۶۰٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۲ ماه
598,AZG6rxbv,۴۴۰٬۰۰۰,۱۳۸۲,یشمی,۱۵۰٬۰۰۰٬۰۰۰ تومان,سالم,تمام‌رنگ,سالم و پلمپ,۱۰ ماه
599,AZGC7_5I,۸۳٬۰۰۰,۱۳۹۹,سفید,۴۰۸٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۱۰ ماه
600,AZGCkajb,۲۶۵٬۰۰۰,۱۳۸۲,نقره‌ای,۲۰۰٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۱۲ ماه
601,AZGCtlYn,۲۳۵٬۰۰۰,۱۳۸۹,سفید,۲۷۰٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۷ ماه
602,AZGG1fdE,۱۱۱٬۱۱۱,۱۳۸۹,سفید,۳۴۰٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۱۲ ماه
603,AZGG7oZ3,۱۱۰٬۰۰۰,۱۳۹۶,نوک‌مدادی,۲۸۰٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۸ ماه
604,AZGGCccO,۴۳,۱۳۹۹,خاکستری,۴۵۰٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۳ ماه
605,AZGGdqPX,۵۰٬۰۰۰,۱۳۹۸,سفید,۴۲۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۱۲ ماه
606,AZGJUFa2,۰,۱۴۰۱,سفید,۴۸۷٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۱۲ ماه
607,AZGK0l_a,۱۰۰٬۰۰۰,۱۳۹۹,سفید,۴۶۰٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۱۲ ماه
608,AZGK7jEX,۲۳۰٬۰۰۰,۱۳۹۶,سفید,۳۵۵٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۱۲ ماه
609,AZGK8IN6,۲۲۰٬۰۰۰,۱۳۸۹,نقره‌ای,۲۸۰٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۹ ماه
610,AZGKA0-Y,۲۱۰٬۰۰۰,۱۳۸۱,آلبالویی,۲۴۵٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۶ ماه
611,AZGKA76M,۷۰٬۰۰۰,۱۴۰۰,آبی,۴۳۵٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۳ ماه
612,AZGKLVTr,۴۸٬۰۰۰,۱۳۹۸,آبی,۴۱۵٬۰۰۰٬۰۰۰ تومان,سالم,صافکاری بی‌رنگ,سالم و پلمپ,۷ ماه
613,AZGKMmW8,۱۵۲٬۰۰۰,۱۳۹۰,سفید,۲۹۸٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۸ ماه
614,AZGKdtsd,۲۹۰٬۰۰۰,۱۳۸۷,سفید,۲۶۰٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۴ ماه
615,AZGKf8cv,۸۷٬۰۰۰,۱۳۹۷,سفید,۳۶۰٬۰۰۰٬۰۰۰ تومان,سالم,صافکاری بی‌رنگ,سالم و پلمپ,۱۰ ماه
616,AZGKt8Tn,۸۰٬۰۰۰,۱۳۹۸,سفید,۳۹۵٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۶ ماه
617,AZGKvrSA,۲۱۰٬۰۰۰,۱۳۸۶,خاکستری,۲۳۷٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۹ ماه
618,AZGOAuvb,۲۴۱٬۰۰۰,۱۳۹۰,سفید,۳۰۰٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۱۱ ماه
619,AZGOChZD,۷۰٬۰۰۰,۱۳۹۸,سفید,۳۹۵٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۷ ماه
620,AZGOPLMv,۲۴۸٬۰۰۰,۱۳۸۲,آلبالویی,۲۰۵٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۸ ماه
621,AZGOPMy0,۷۰٬۰۰۰,۱۳۹۸,سفید,۴۱۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۱۲ ماه
622,AZGOVPam,۲۵۴٬۰۰۰,۱۳۸۱,سفید,۱۹۳٬۰۰۰٬۰۰۰ تومان,سالم,دوررنگ,سالم و پلمپ,۶ ماه
623,AZGOaf7U,۲۰۰٬۰۰۰,۱۳۹۰,سفید,۳۱۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۱۲ ماه
624,AZGOefLI,۳۲۰٬۰۰۰,۱۳۸۲,نقره‌ای,۱۸۵٬۰۰۰٬۰۰۰ تومان,سالم,دوررنگ,سالم و پلمپ,۳ ماه
625,AZGOuuJS,۲۳۰٬۰۰۰,۱۳۹۱,سفید,۳۰۴٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۹ ماه
626,AZGOv5YR,۲۳۰٬۰۰۰,۱۳۸۶,مسی,۱۹۵٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,,۳ ماه
627,AZGOxuMn,۱۰٬۰۰۰,۱۴۰۱,سفید صدفی,۵۲۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۱۲ ماه
628,AZGOyfHk,۳۸۰٬۰۰۰,۱۳۸۸,خاکستری,۲۵۸٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۱۲ ماه
629,AZGS_pe0,۳۰۰٬۰۰۰,۱۳۸۶,خاکستری,۱۱۱٬۱۱۱٬۱۱۱ تومان,سالم,تصادفی,سالم و پلمپ,۱ ماه
630,AZGW-JSp,۲۰۰٬۰۰۰,۱۳۸۹,خاکستری,۲۳۰٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۲ ماه
631,AZGWqu-9,۸۰٬۰۰۰,۱۳۹۶,سفید,۳۵۷٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۹ ماه
632,AZGa7ben,۳۰۰٬۰۰۰,۱۳۸۱,مشکی,۲۰۵٬۰۰۰٬۰۰۰ تومان,سالم,دوررنگ,سالم و پلمپ,۱ ماه
633,AZGaCDVu,۲۳۴٬۰۰۰,۱۳۸۵,نقره‌ای,۲۱۵٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۳ ماه
634,AZGaQlzB,۷۳٬۰۰۰,۱۳۸۹,سفید صدفی,۳۸۰٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۴ ماه
635,AZGebXpj,۹۳٬۰۰۰,۱۳۹۹,سفید,۴۱۹٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,
636,AZGerERc,۶۰٬۰۰۰,۱۳۹۸,سفید,۴۱۵٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۱۰ ماه
637,AZGiMRpT,۲۲۰٬۰۰۰,۱۳۸۵,مشکی,۲۵۵٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۱۲ ماه
638,AZGiOZ_B,۱۰۴٬۰۰۰,۱۳۹۷,خاکستری,۴۱۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۶ ماه
639,AZGibfHj,۵۳٬۰۰۰,۱۳۹۸,سفید,۴۰۰٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۸ ماه
640,AZGid77G,۲۵٬۰۰۰,۱۳۹۸,سفید,۴۳۵٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۱ ماه
641,AZGifhCL,۳۵۵٬۰۰۰,۱۳۸۴,خاکستری,۲۱۴٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۶ ماه
642,AZGitkVZ,۴۴٬۰۰۰,۱۳۹۹,سفید,۴۱۵٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۱۰ ماه
643,AZGm57r6,۳۳۵٬۰۰۰,۱۳۸۳,نقره‌ای,۲۱۰٬۰۰۰٬۰۰۰ تومان,تعویض شده,خط و خش جزیی,سالم و پلمپ,۵ ماه
644,AZGmBJqK,۳۰۰٬۰۰۰,۱۳۸۴,خاکستری,۱۹۰٬۰۰۰٬۰۰۰ تومان,سالم,دوررنگ,,۱۰ ماه
645,AZGmLR5C,۲۸۰٬۰۰۰,۱۳۸۲,یشمی,۱۸۵٬۰۰۰٬۰۰۰ تومان,سالم,دوررنگ,ضربه‌خورده,۶ ماه
646,AZGmaVxY,۳۵۰٬۰۰۰,۱۳۸۲,خاکستری,۱۹۲٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۱۰ ماه
647,AZGmdNkT,۷۰٬۰۰۰,۱۳۹۸,سفید,۱٬۲۲۲٬۲۲۲٬۲۲۲ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,
648,AZGmfpcE,۱۰۷٬۰۰۰,۱۳۹۶,سفید صدفی,۳۵۰٬۰۰۰٬۰۰۰ تومان,سالم,صافکاری بی‌رنگ,سالم و پلمپ,۳ ماه
649,AZGmsvLi,۱۵۳٬۰۰۰,۱۳۹۴,سفید,۲۸۵٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,ضربه‌خورده,
650,AZGmzI0M,۷۰٬۰۰۰,۱۳۹۷,سفید,۲۷۰٬۰۰۰٬۰۰۰ تومان,سالم,تصادفی,سالم و پلمپ,۵ ماه
651,AZGq8pX6,۱۰۵٬۰۰۰,۱۳۹۷,سفید,۳۶۳٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۶ ماه
652,AZGq_miz,۴۵٬۰۰۰,۱۳۹۹,سفید,۴۶۵٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۳ ماه
653,AZGqbnrQ,۲۰۰٬۰۰۰,۱۳۹۰,خاکستری,۲۸۰٬۰۰۰٬۰۰۰ تومان,سالم,دوررنگ,,۱۰ ماه
654,AZGqsz-I,۱۸۰٬۰۰۰,۱۳۸۵,نوک‌مدادی,۲۰۵٬۰۰۰٬۰۰۰ تومان,سالم,تمام‌رنگ,سالم و پلمپ,۸ ماه
655,AZGqvRXI,۲۰۰٬۰۰۰,۱۳۸۶,نقره‌ای,۱۹۵٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۵ ماه
656,AZGuAhIJ,۲۴۰٬۰۰۰,۱۳۸۶,نوک‌مدادی,۲۴۵٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۳ ماه
657,AZGuMBe2,۱۰۴٬۰۰۰,۱۳۹۶,مشکی,۳۲۵٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۷ ماه
658,AZGuSBHL,۲۷۲٬۰۰۰,۱۳۸۸,سفید,۲۶۵٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۵ ماه
659,AZGusr9_,۷۴٬۰۰۰,۱۳۹۶,سفید,۳۵۰٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۶ ماه
660,AZGuy82S,۲۶۰٬۰۰۰,۱۳۹۱,سفید,۳۴۹٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۱۰ ماه
661,AZGy0F6o,۲۰٬۰۰۰,۱۳۹۹,سفید,۴۵۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۷ ماه
662,AZGy62H1,۱٬۰۰۰,۱۳۹۸,سفید,۴۶۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۳ ماه
663,AZGyZXLZ,۱۹۷٬۰۰۰,۱۳۹۰,نوک‌مدادی,۲۸۰٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۹ ماه
664,AZGyblDA,۳۴۰٬۰۰۰,۱۳۸۲,بژ,۱۱۹٬۰۰۰٬۰۰۰ تومان,نیاز به تعمیر,تمام‌رنگ,سالم و پلمپ,۳ ماه
665,AZGyczKJ,۲۸۰٬۰۰۰,۱۳۸۵,نقره‌ای,۲۳۰٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۱۱ ماه
666,AZGyd5w5,۴۵۰٬۰۰۰,۱۳۸۹,خاکستری,۲۶۵٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,
667,AZH-Buje,۴۱٬۰۰۰,۱۳۹۸,سفید,۴۵۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۳ ماه
668,AZH-FXEl,۱۶۴٬۰۰۰,۱۳۹۴,مشکی,۳۲۱٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۶ ماه
669,AZH-UGaK,۳۱,۱۳۹۹,سفید,۴۳۰٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۱۱ ماه
670,AZH-hg7N,۲۳۰٬۰۰۰,۱۳۸۹,خاکستری,۲۵۰٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۱۰ ماه
671,AZH-y421,۱۸۳٬۰۰۰,۱۳۹۰,سفید,۲۷۰٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,,
672,AZH2P4qA,۳۷۰٬۰۰۰,۱۳۸۶,خاکستری,۲۲۵٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۱۲ ماه
673,AZH2vDza,۲۲۰٬۰۰۰,۱۳۸۹,بادمجانی,۲۷۰٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۲ ماه
674,AZH2wpeE,۲۰۰٬۰۰۰,۱۳۸۸,سفید,۳۲۵٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۹ ماه
675,AZH54_99,۰,۱۴۰۱,سفید,۵۶۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,
676,AZH60wtK,۱۲۰٬۰۰۰,۱۳۹۷,سفید,۳۸۰٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,
677,AZH6DZXa,۲۴۷٬۰۰۰,۱۳۸۸,سفید,۲۳۹٬۰۰۰٬۰۰۰ تومان,سالم,دوررنگ,سالم و پلمپ,۹ ماه
678,AZH6X5Sy,۲۱۰٬۰۰۰,۱۳۹۰,سفید,۲۷۰٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی، در ۲ ناحیه,سالم و پلمپ,۱۲ ماه
679,AZH6gOYK,۴۴٬۹۰۰,۱۳۹۹,سفید,۳۹۰٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۶ ماه
680,AZHCAw4I,۳۸٬۵۰۰,۱۳۹۸,سفید,۴۲۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۶ ماه
681,AZHCAw7p,۳۵۰٬۰۰۰,۱۳۸۴,نوک‌مدادی,۲۳۰٬۰۰۰٬۰۰۰ تومان,سالم,صافکاری بی‌رنگ,سالم و پلمپ,۱۲ ماه
682,AZHCJIn1,۶۵٬۰۰۰,۱۳۹۹,سفید,۳۹۵٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,
683,AZHCxv97,۳۵۰٬۰۰۰,۱۳۹۱,سفید,۱۱٬۱۱۱٬۱۱۱ تومان,نیاز به تعمیر,رنگ‌شدگی,سالم و پلمپ,۴ ماه
684,AZHG-x7Y,۷۱٬۲۰۰,۱۳۹۶,خاکستری,۳۸۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,
685,AZHGB5Rp,۳۲۵٬۰۰۰,۱۳۸۹,نوک‌مدادی,۲۳۰٬۰۰۰٬۰۰۰ تومان,,رنگ‌شدگی,,۲ ماه
686,AZHGJIv4,۹۳٬۰۰۰,۱۳۹۵,سفید,۳۷۲٬۵۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۳ ماه
687,AZHGQiKe,۵۳٬۰۰۰,۱۳۹۸,نوک‌مدادی,۴۲۵٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۱۱ ماه
688,AZHGUh8e,۱۱۰٬۰۰۰,۱۳۹۷,سفید,۳۶۳٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۹ ماه
689,AZHGassP,۸۱٬۰۰۰,۱۳۹۹,سفید,۴۳۰٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۱۱ ماه
690,AZHGgJli,۱۳۵٬۰۰۰,۱۳۹۴,خاکستری,۳۴۰٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۸ ماه
691,AZHKDp4g,۲۶۰٬۰۰۰,۱۳۸۹,نقره‌ای,۲۸۰٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۱ ماه
692,AZHKUyVd,۳۶٬۰۰۰,۱۳۹۹,سفید,۴۴۸٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۱۱ ماه
693,AZHKWuwn,۶۴٬۰۰۰,۱۳۹۸,نقره‌ای,۳۹۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۸ ماه
694,AZHKzjyZ,۶۰٬۰۰۰,۱۳۹۴,خاکستری,۳۸۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۶ ماه
695,AZHOE9w2,۲۲۰٬۰۰۰,۱۳۹۱,خاکستری,۲۷۵٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۹ ماه
696,AZHOQhlX,۱۹۰٬۰۰۰,۱۳۹۷,سفید,۳۵۰٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۸ ماه
697,AZHOWaFe,۲۱۲٬۰۰۰,۱۳۸۲,مشکی,۲۱۵٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۶ ماه
698,AZHSAFWx,۶۰٬۰۰۰,۱۳۹۹,سفید,۴۱۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,
699,AZHSThHl,۶۰٬۰۰۰,۱۳۹۹,سفید,۴۱۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۸ ماه
700,AZHW0HK1,۱۴۳٬۰۰۰,۱۳۹۶,سفید,۳۷۰٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۸ ماه
701,AZHW1OKT,۱۷۰٬۰۰۰,۱۳۸۹,نقره‌ای,۲۶۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۹ ماه
702,AZHW2wz6,۷۴٬۰۰۰,۱۳۹۸,سفید,۴۱۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۸ ماه
703,AZHW52VH,۲۶۰٬۰۰۰,۱۳۹۱,سفید,۳۶۰٬۰۰۰٬۰۰۰ تومان,,سالم و بی‌خط و خش,سالم و پلمپ,۱۰ ماه
704,AZHWZFYY,۸۰٬۰۰۰,۱۳۹۶,قرمز,۳۸۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۶ ماه
705,AZHWlViH,۸۷٬۰۰۰,۱۳۹۵,نوک‌مدادی,۳۹۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۳ ماه
706,AZHaEYAz,۲۵۰٬۰۰۰,۱۳۹۰,سفید,۲۸۰٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۱۰ ماه
707,AZHaFO7s,۱۲٬۰۰۰,۱۴۰۱,سفید,۵۰۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۹ ماه
708,AZHaSmtI,۳۰٬۰۰۰,۱۳۹۸,سفید,۴۲۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۳ ماه
709,AZHe0U9d,۲۶۵٬۰۰۰,۱۳۹۰,سفید,۲۷۹٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۱۲ ماه
710,AZHeStiK,۰,۱۳۹۹,سفید,۴۹۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۵ ماه
711,AZHeiEAd,۵۶٬۰۰۰,۱۳۹۹,سفید,۴۴۰٬۰۰۰٬۰۰۰ تومان,,سالم و بی‌خط و خش,سالم و پلمپ,
712,AZHelHaS,۱۹۰٬۰۰۰,۱۳۹۶,سفید,۳۴۰٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۱۲ ماه
713,AZHiB4e3,۳۰۰٬۰۰۰,۱۳۸۴,تیتانیوم,۲۰۵٬۰۰۰٬۰۰۰ تومان,سالم,دوررنگ,سالم و پلمپ,۶ ماه
714,AZHiRRYp,۲۰۰,۱۴۰۱,سفید,۵۲۵٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۵ ماه
715,AZHiTWzP,۳۴٬۰۰۰,۱۴۰۱,سفید,۴۴۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۱۰ ماه
716,AZHiUZ2V,۹۳٬۰۰۰,۱۳۹۵,سفید,۳۶۰٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۳ ماه
717,AZHme174,۱۹۰٬۰۰۰,۱۳۸۲,نقره‌ای,۲۰۰٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۱۲ ماه
718,AZHmjzd9,۳۲۰٬۰۰۰,۱۳۸۶,خاکستری,۲۴۰٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۴ ماه
719,AZHmmudB,۱۱۳٬۰۰۰,۱۳۹۵,سفید,۳۷۵٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۶ ماه
720,AZHqAFme,۱۲۱٬۰۰۰,۱۳۸۹,گیلاسی,۲۶۵٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۳ ماه
721,AZHqSwGX,۲۸۵٬۰۰۰,۱۳۸۳,دلفینی,۲۰۵٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۱۲ ماه
